reg_no,di_count,outlier_type,di,device_record_key,version_time
国械注进20203160220,120,C,08800322186534,08800322186534202508200854577,2025-09-02
国械注进20203160220,120,C,08800322186541,08800322186541202508200854578,2025-09-02
国械注进20203160220,120,C,08800322186558,08800322186558202508200854579,2025-09-02
国械注进20203160220,120,C,08800322186565,088003221865652025082008545710,2025-09-02
国械注许20253160011,105,C,04719303492981,04719303492981202508200309421,2025-08-21
国械注许20253160011,105,C,04719303492998,04719303492998202508200309422,2025-08-21
国械注许20253160011,105,C,04719303493001,04719303493001202508200309423,2025-08-21
国械注许20253160011,105,C,04719303493018,04719303493018202508200309424,2025-08-21
国械注许20253160011,105,C,04719303493025,04719303493025202508200309425,2025-08-21
国械注许20253160011,105,C,04719303493032,04719303493032202508200309426,2025-08-21
国械注许20253160011,105,C,04719303493049,04719303493049202508200309427,2025-08-21
国械注许20253160011,105,C,04719303493056,04719303493056202508200309428,2025-08-21
国械注许20253160011,105,C,04719303493063,04719303493063202508200309429,2025-08-21
国械注许20253160011,105,C,04719303493070,047193034930702025082003094210,2025-08-21
